tracks/artist,tracks/album,tracks/track,tracks/uri,albums/artist,albums/album,albums/uri,artists/name,artists/uri,other
Yung Bans,Yung Bans Vol. 5,Round (feat. Juice WRLD),spotify:track:6YXxeDNipkeI0kV6v7QD91,,,,,,
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",bad guy,spotify:track:2Fxmhks0bxGSBdJ92vM42m,,,,,,
Lil Uzi Vert,Futsal Shuffle 2020,Futsal Shuffle 2020,spotify:track:2Ec33AVlkTTq8BHFgBTdQs,,,,,,
Steve Aoki,Night Call (feat. Lil Yachty & Migos),Night Call (feat. Lil Yachty & Migos),spotify:track:6YpUNrldnp1kjntEMRRAJ6,,,,,,
Ty Dolla $ign,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Remix]","Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",spotify:track:7t2bFihaDvhIrd2gn2CWJO,,,,,,
The Weeknd,Starboy,Starboy,spotify:track:7MXVkk9YMctZqd1Srtv4MB,,,,,,
convolk,LONEWOLF,tie me to the train tracks,spotify:track:5Zj644ou8pXdClz0IZQS9S,,,,,,
Future,FUTURE,I'm so Groovy,spotify:track:4lozYCMRLtEc46exlhoK2Q,,,,,,
Kodak Black,Institution,Already,spotify:track:3XoMtVDuIbmMQ9UKSShXti,,,,,,
Drake,Take Care,Take Care,spotify:track:4wTMBYRE6xVTIUQ6fEudsJ,,,,,,
NAV,Bad Habits,Taking Chances,spotify:track:0iVWDZhL04DiKgbI1mbC40,,,,,,
Future,Pluto x Baby Pluto,Moment of Clarity,spotify:track:5iHaOaMTQA3f24kD4oTR2x,,,,,,
VIC MENSA,Reverse (Ft. G-Eazy),Reverse (Ft. G-Eazy),spotify:track:3qAyjdhtnU2a14rrRKEkcE,,,,,,
Gunna,WUNNA,COOLER THAN A BITCH (feat. Roddy Ricch),spotify:track:5LHHKZOwV8XW4LJP2C64mw,,,,,,
Kevin Gates,Islah,2 Phones,spotify:track:0wdKiSBUT7aZkXUIdJWcwC,,,,,,
Post Malone,Psycho (feat. Ty Dolla $ign),Psycho (feat. Ty Dolla $ign),spotify:track:0lQDyILirDgaXt81H5w8tt,,,,,,
Juice WRLD,Death Race For Love,Feeling,spotify:track:2Jh3UqxnHJMyzMzku4uOtE,,,,,,
J. Cole,2014 Forest Hills Drive,03' Adolescence,spotify:track:4txn9qnwK3ILQqv5oq2mO3,,,,,,
Travis Scott,Birds In The Trap Sing McKnight,wonderful,spotify:track:1cZlBZwnwGPtYeRIeQcoFh,,,,,,
Denzel Curry,32 Zel / Planet Shrooms,Ultimate,spotify:track:0KGBU6sYZ1WC5UXrdvIxtC,,,,,,
Drake,What A Time To Be Alive,Jumpman,spotify:track:27GmP9AWRs744SzKcpJsTZ,,,,,,
Lil Tecca,MONEY ON ME,MONEY ON ME,spotify:track:681ZlxQVB8XBPRZD1Wk4oi,,,,,,
A$AP Rocky,TESTING,Praise The Lord (Da Shine) (feat. Skepta),spotify:track:7ycWLEP1GsNjVvcjawXz3z,,,,,,
Frank Ocean,Blonde,Nights,spotify:track:7eqoqGkKwgOaWNNHx90uEZ,,,,,,
Lil Baby,The Voice of the Heroes,Hats Off (feat. Travis Scott),spotify:track:4lUmnwRybYH7mMzf16xB0y,,,,,,
Lil Skies,Magic,Magic,spotify:track:5NqOsPI4rA9Bl6LcCftzI2,,,,,,
Bernard Jabs,Come Again,Come Again (feat. iann dior),spotify:track:2nw5JpZFV6ISs2J84wNeJr,,,,,,
Drake,Views,Too Good,spotify:track:7fJtPlEZKxu6gvkfBFc5tW,,,,,,
Ski Mask The Slump God,STOKELEY,Foot Fungus,spotify:track:3EikYy40GMSp8l5mDV6IQo,,,,,,
Pretty Pacc,Drifting,Drifting,spotify:track:5cSg8SdClubjZ32WrKwzAW,,,,,,
Future,EVOL,Low Life (feat. The Weeknd),spotify:track:71SDPonZOsIKNtqnaX8LXj,,,,,,
Gunna,Drip Season 3,Car Sick (feat. NAV & Metro Boomin),spotify:track:2jJqx7SPGBonJGSHMejEXP,,,,,,
F$O Dinero,Blue Bills,Blue Bills,spotify:track:0rsHowMvnFtH6GAB8U8PVG,,,,,,
Lil Uzi Vert,Luv Is Rage 2,X,spotify:track:5tRmoZRoupvMYPV1oezFrH,,,,,,
Lil Skies,Real Ties,Real Ties,spotify:track:0Qd2KYCmwGYiTF3A0opS6b,,,,,,
guccihighwaters,self sabotage,self sabotage,spotify:track:7C2JqMwIeF4WmFwdHahT6i,,,,,,
Quality Control,Quality Control: Control The Streets Volume 2,Bless Em (Takeoff feat. Travis Scott),spotify:track:3aaRK3htdVkK2pqOI64FEb,,,,,,
6 Dogs,Buttcheeks,Buttcheeks,spotify:track:694J4C7mBU2dWxQBphFslt,,,,,,
Metro Boomin,NOT ALL HEROES WEAR CAPES,Up To Something (feat. Travis Scott & Young Thug),spotify:track:27P4XoNXXEV4lTc3sB61RK,,,,,,
Playboi Carti,Playboi Carti,wokeuplikethis*,spotify:track:59J5nzL1KniFHnU120dQzt,,,,,,
Post Malone,White Iverson,White Iverson,spotify:track:2N0NifjyXAdMOB4KBGvBJ6,,,,,,
A Boogie Wit da Hoodie,Artist 2.0,Streets Don't Love You,spotify:track:5IhS1ig4KRhO4TXH3uspCa,,,,,,
ScHoolboy Q,CrasH Talk,Dangerous (feat. Kid Cudi),spotify:track:0IH3D0P8OrQFs6ajcqbm0R,,,,,,
Drake,Views,Pop Style,spotify:track:334S9SWZMjyRDN0wrHw7wk,,,,,,
Lil Tjay,True 2 Myself,Ruthless (feat. Jay Critch),spotify:track:395WRTyNwMGx80cDXqg6vM,,,,,,
Travis Scott,Birds In The Trap Sing McKnight,goosebumps,spotify:track:6gBFPUFcJLzWGx4lenP6h2,,,,,,
YFN Lucci,Wish Me Well 2,Key to the Streets,spotify:track:0sHxp844QRmAnmTRObE2qM,,,,,,
Playboi Carti,Playboi Carti,Magnolia,spotify:track:1e1JKLEDKP7hEQzJfNAgPl,,,,,,
2 Chainz,Pretty Girls Like Trap Music,Blue Cheese,spotify:track:67gmXPQZL1ISSh13OJJ1Pu,,,,,,
Machine Gun Kelly,Tickets To My Downfall,my ex's best friend (with blackbear),spotify:track:7kDUspsoYfLkWnZR7qwHZl,,,,,,
KYLE,Nothing 2 Lose,Nothing 2 Lose,spotify:track:3Y50039OrE23aLLh8tHHYZ,,,,,,
Trippie Redd,A Love Letter To You,Love Scars,spotify:track:0AICBlLzFCTpUqmAbtzB2z,,,,,,
Young Thug,Slime Language,Chanel (Go Get It) [feat. Gunna & Lil Baby],spotify:track:0kCBorRrKZkSztd9m0QI3r,,,,,,
Mustard,Perfect Ten,Ballin' (with Roddy Ricch),spotify:track:3QzAOrNlsabgbMwlZt7TAY,,,,,,
Lil Uzi Vert,Luv Is Rage,Paradise,spotify:track:7pudclCl5P99Me3P5F9hPC,,,,,,
ScHoolboy Q,CHopstix (with Travis Scott),CHopstix (with Travis Scott),spotify:track:01DOm09B2AbiTARAbXVI6g,,,,,,
BlocBoy JB,Look Alive (feat. Drake),Look Alive (feat. Drake),spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,,,,,,
A Boogie Wit da Hoodie,B4 AVA,Man in the Mirror,spotify:track:7uLFOXgLrS90tEYPO1DGXy,,,,,,
Takeoff,The Last Rocket,Casper,spotify:track:1B4gJRq61xTs6r1O0Uq2iY,,,,,,
Young Thug,So Much Fun,Ecstasy (feat. Machine Gun Kelly),spotify:track:1yBbxDXEfr8boXM1ubvBHi,,,,,,
Lil Yachty,Teenage Emotions,Harley,spotify:track:2hfuZh5FuIOFMoUPU01fjv,,,,,,
Wiz Khalifa,Rolling Papers 2,Fr Fr (feat. Lil Skies),spotify:track:1RagpNpkD3KcjXMLGMe99V,,,,,,
Drake,Take Care,Lord Knows,spotify:track:1QBwk6GTCxVdC2hoSw9tlM,,,,,,
Travis Scott,ASTROWORLD,SKELETONS,spotify:track:6NMtzpDQBTOfJwMzgMX0zl,,,,,,
Pooh Shiesty,Gucci Mane Presents: So Icy Summer,7.62 God,spotify:track:7w77k7yCaDOMe25fYxnzit,,,,,,
Internet Money,Somebody,Somebody,spotify:track:735RSTb2xbtWbDtKD9XDYi,,,,,,
Juice WRLD,Death Race For Love,Make Believe,spotify:track:6eiztdXRkooWsBt2xToMWI,,,,,,
Travis Scott,Rodeo (Expanded Edition),Pray 4 Love (feat. The Weeknd),spotify:track:2dJ4rGtsOHOgvTQawsCRtg,,,,,,
Gunna,DS4EVER,pushin P (feat. Young Thug),spotify:track:3LnpBazWpD31QMTn6LgVGv,,,,,,
Future,Future & Juice WRLD Present... WRLD ON DRUGS,Realer N Realer,spotify:track:4VMiNOpnjRwSCwmHaUfOMM,,,,,,
A Boogie Wit da Hoodie,Artist,My Shit,spotify:track:5uQOauh47VFt3B2kV9kRXw,,,,,,
Kodak Black,Lil Big Pac,Too Many Years,spotify:track:0BU7nIcCZxYSE0hYcc5oZz,,,,,,
Future,I NEVER LIKED YOU,PUFFIN ON ZOOTIEZ,spotify:track:1qMMYpVatbRITKCfq1gasi,,,,,,
Drake,Certified Lover Boy,Way 2 Sexy (with Future & Young Thug),spotify:track:0k1WUmIRnG3xU6fvvDVfRG,,,,,,
Lil Uzi Vert,Luv Is Rage 2,20 Min,spotify:track:0uxSUdBrJy9Un0EYoBowng,,,,,,
Lil Yachty,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),spotify:track:7wsmIIm0xWmtP7TmACXkJn,,,,,,
$NOT,Can You Help Me,Can You Help Me,spotify:track:72D79mMBu1fs0DbnUU7Ecq,,,,,,
XXXTENTACION,Look At Me!,Look At Me!,spotify:track:7floNISpH8VF4z4459Qo18,,,,,,
Drake,Headlines,Headlines,spotify:track:6RGvWCHTS6BC46TsMyN0WM,,,,,,
A Boogie Wit da Hoodie,Artist,Jungle,spotify:track:5uZm7EFtP5aoTJvx5gv9Xf,,,,,,
Tee Grizzley,Activated,Light (feat. Lil Yachty),spotify:track:3N4OzMI84d1hqcobgue6uT,,,,,,
Nujabes,Modal Soul,Feather (feat. Cise Starr & Akin from CYNE),spotify:track:2ej1A2Ze6P2EOW7KfIosZR,,,,,,
Shiloh Dynasty,Who Are You?,Waiting (Tell Me),spotify:track:0Q8XWMdBphq473mCRGTODl,,,,,,
A Boogie Wit da Hoodie,Flood My Wrist (feat. Lil Uzi Vert),Flood My Wrist (feat. Lil Uzi Vert),spotify:track:5Tj4faD9lGyMw8ZatUYR6G,,,,,,
Lil Durk,The Voice,Finesse Out The Gang Way (feat. Lil Baby),spotify:track:15bnyEOUVRkwWlxR4F7xzF,,,,,,
Future,BEASTMODE 2,WIFI LIT,spotify:track:6WlxcZKpEV6Bwe9InoVhMp,,,,,,
NAV,Bad Habits,Hold Your Breath (feat. Gunna),spotify:track:5PFfxZ9WezcE8JiUWLsyus,,,,,,
Kendrick Lamar,DAMN.,XXX. FEAT. U2.,spotify:track:4iYRa2btalAzPZoSYfROqF,,,,,,
Pi’erre Bourne,The Life Of Pi'erre 5,Switching Lanes (feat. Playboi Carti),spotify:track:09hbZ8vF8YmlVQq55Ai1Ay,,,,,,
convolk,SWAN DIVE,Swan Dive,spotify:track:3p3SnaOfok6cgvnfdCq0NA,,,,,,
Internet Money,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",spotify:track:7ptCElEIMZRiQ6HwLhaB5t,,,,,,
Kendrick Lamar,"Sneak Peek: good kid, m.A.A.d city",Poetic Justice,spotify:track:3OeCQT4UqF8OgA13cnd6xu,,,,,,
Migos,Culture II,White Sand,spotify:track:2KokOIKdw4zZutDil85Ugh,,,,,,
Lil Mosey,Stuck In A Dream (feat. Gunna),Stuck In A Dream (feat. Gunna),spotify:track:5hDAT527wXWNBnJlujhuUs,,,,,,
Gunna,SKYBOX,SKYBOX,spotify:track:7GwYENSg87oERcW0Wacd6m,,,,,,
Cordae,The Lost Boy,RNP (feat. Anderson .Paak),spotify:track:5lw8Mgb4LyhriPIC86gV6e,,,,,,
88GLAM,88GLAM2,Lil Boat,spotify:track:3Zcv9IeYgCvEhxFTfsduaQ,,,,,,
Internet Money,B4 The Storm,"Lost Me (feat. Lil Mosey, iann dior & Lil Skies)",spotify:track:4nTIY6vSiw19IzzPKKqCU9,,,,,,
NAV,Bad Habits,Why You Crying Mama,spotify:track:03Q1Tz2OxlA3sRrbXxmG3V,,,,,,
Bazzi,Soul Searching,Focus (feat. 21 Savage),spotify:track:2FqqVHvC4eKrsk97vpMRid,,,,,,
A Boogie Wit da Hoodie,Artist 2.0,Me and My Guitar,spotify:track:6cZH4rX1KTt1aJ3Ql6Ynja,,,,,,
Pop Smoke,Meet The Woo 2,Shake The Room (feat. Quavo),spotify:track:5Ar2IdS42hvVwV7EhflI8b,,,,,,
Shrimp,MIA,MIA,spotify:track:5VPovDccXsT3Sjx50ytU1H,,,,,,
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",all the good girls go to hell,spotify:track:6IRdLKIyS4p7XNiP8r6rsx,,,,,,
Global Dan,Moving On,Moving On,spotify:track:7G8UwvJwgslJV178akfeIf,,,,,,
88GLAM,88GLAM RELOADED,Kyrie,spotify:track:4mOPVJGfWXH0wPFA6xeRDz,,,,,,
Johnny Rain,Peach,Peach,spotify:track:6apBRC7etjrB85eeSjcEV0,,,,,,
The Kid LAROI,F*CK LOVE (SAVAGE),ALWAYS DO,spotify:track:3QCU8BT0zDS9LPVfEhRFEE,,,,,,
NAV,Some Way,Some Way,spotify:track:0bGVqUPZZ2owtWEyzIggQI,,,,,,
Paris Shadows,Po'ed Up (feat. Gunna),Po'ed Up (feat. Gunna),spotify:track:6mdMz0aTPcP4xPz4DOsp0W,,,,,,
Drake,The Best In The World Pack,Money In The Grave (Drake ft. Rick Ross),spotify:track:5ry2OE6R2zPQFDO85XkgRb,,,,,,
YNW Melly,Just A Matter of Slime,Mind of Melvin (feat. Lil Uzi Vert),spotify:track:5xyLeb2q1lxDf7hXKYlC1H,,,,,,
NAV,RECKLESS,Reckless Intro,spotify:track:7GNlNNDvM7c9fsv3zsmVQX,,,,,,
Jack Harlow,Confetti,WALK IN THE PARK,spotify:track:0XOKietGW4PXK4hs4jyfpO,,,,,,
Lil Revenge,Martian,Martian,spotify:track:3eRz45aF7i5AXL4jHsgffG,,,,,,
Xavier Weeks,No Go,Team,spotify:track:0wIkpHxoFM554I2QBJqnx2,,,,,,
Lil Uzi Vert,Go Off,"Go Off (with Lil Uzi Vert, Quavo & Travis Scott)",spotify:track:1Si44I1mrFkOWlL6u9ynr6,,,,,,
redveil,Soulfood,Soulfood,spotify:track:2uL3sat19TiMOOahR2jutD,,,,,,
Arctic Monkeys,Favourite Worst Nightmare,505,spotify:track:58ge6dfP91o9oXMzq3XkIS,,,,,,
KYLE,Doubt It,Doubt It,spotify:track:0c6DDLA4rsGGNXWZM5oZdS,,,,,,
Travis Scott,Rodeo (Expanded Edition),Maria I'm Drunk (feat. Justin Bieber & Young Thug),spotify:track:6Yqmv7XJLCrQEauMbPGZSw,,,,,,
Juice WRLD,Legends Never Die,Man Of The Year,spotify:track:1uA914Md6wsy9NDryyBypH,,,,,,
ScHoolboy Q,THat Part,THat Part - Black Hippy Remix,spotify:track:5sqHFfmw7MMc1L85BN8802,,,,,,
Lil Tecca,REPEAT IT,REPEAT IT (with Gunna),spotify:track:21AJQhGZpujjZQXByZAXpr,,,,,,
Travis Scott,Rodeo (Expanded Edition),3500 (feat. Future & 2 Chainz),spotify:track:1SGt65i9AnXYdDQt1AtDRH,,,,,,
No Savage,Angels & Gangstaz,Angels & Gangstaz,spotify:track:0GbHfHIbmmD3KSIHQpV21v,,,,,,
The Weeknd,After Hours,Faith,spotify:track:3orEOtd8CPL8GFlpRpKuoE,,,,,,
Kendrick Lamar,DAMN.,YAH.,spotify:track:4BHSjbYylfOH5WAGusDyni,,,,,,
Nealyn,Who Would Have Thought,Heyyyy :,spotify:track:7iqlMYI2XvAdP4iEqBYyVF,,,,,,
Travis Scott,Birds In The Trap Sing McKnight,outside,spotify:track:177WEvlLsCc0FzCTWslawr,,,,,,
Lil Tjay,Calling My Phone,Calling My Phone,spotify:track:5Kskr9LcNYa0tpt5f0ZEJx,,,,,,
Jack Harlow,Confetti,THRU THE NIGHT (feat. Bryson Tiller),spotify:track:1AgSUWSzmza5jF6ER5R68v,,,,,,
Pooh Shiesty,Shiesty Season - Spring Deluxe,See Me Comin,spotify:track:6sslAKA6VVujoro0ULUqWe,,,,,,
Travis Scott,Birds In The Trap Sing McKnight,beibs in the trap,spotify:track:0ESJlaM8CE1jRWaNtwSNj8,,,,,,
21 Savage,i am > i was,1.5,spotify:track:2rjbWlEDTx4tfajRaMs8Fw,,,,,,
Gunna,DS4EVER,too easy,spotify:track:2Hph3X77ySNgBCIak5CMc6,,,,,,
Kanye West,My Beautiful Dark Twisted Fantasy,Gorgeous,spotify:track:23SZWX2IaDnxmhFsSLvkG2,,,,,,
Future,FUTURE,Mask Off,spotify:track:3rOSwuTsUlJp0Pu0MkN8r8,,,,,,
Post Malone,beerbongs & bentleys,Paranoid,spotify:track:3fpVWegR6YOS1Yk5HSMYIq,,,,,,
Lil Gnar,HEY!,HEY!,spotify:track:5xBcvf2WeukA3K0tiUutlR,,,,,,
Offset,Red Room,Red Room,spotify:track:2MJdgSby3DtSS7bUJx2cly,,,,,,
The Weeknd,Dawn FM,Don’t Break My Heart,spotify:track:6a4GH1gljLL7VvmO9u5O92,,,,,,
Playboi Carti,Playboi Carti,Flex,spotify:track:2xyBvir9n474qfsOkxXMgx,,,,,,
Rae Sremmurd,Perplexing Pegasus,Perplexing Pegasus,spotify:track:2nYwV62UABTH0NanrwVIdQ,,,,,,
Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,Wassup (feat. Future),spotify:track:19Ec2gbNtQTE44IizcPjtD,,,,,,
Pooh Shiesty,Shiesty Season - Spring Deluxe,Welcome To The Riches (feat. Lil Baby),spotify:track:3fcOx9hUmxuj6iGfkLZs3d,,,,,,
iann dior,Industry Plant,Urself,spotify:track:0EcKn4nTp9tbdVtDsgMi07,,,,,,
Future,BEASTMODE 2,31 DAYS,spotify:track:7MywASx2OFZngfoORjo1yy,,,,,,
Lil Uzi Vert,Eternal Atake,Bigger Than Life,spotify:track:2oHDJHNondITqbl8xZ9vPn,,,,,,
Lil Mosey,Northsbest,Burberry Headband,spotify:track:3k8M6cCVi3q0gthqFy7TLc,,,,,,
XXXTENTACION,Revenge,YuNg BrAtZ,spotify:track:2ooF4088y5L72c4YTEJQoB,,,,,,
21 Savage,SAVAGE MODE II,My Dawg,spotify:track:42Tohunwlh34o0mgxYx5iq,,,,,,
Big Sean,I Decided.,Sacrifices,spotify:track:1r0faljjM2b876iNoaDUh5,,,,,,
YG,My Krazy Life,My Nigga - Remix,spotify:track:7DyvSw2yWlEOcChHAbxGzU,,,,,,
Travis Scott,Trap Still Boomin' 3,Sky Fall,spotify:track:7p7pzSVr2zovan3m1m5hFm,,,,,,
J. Cole,4 Your Eyez Only,Foldin Clothes,spotify:track:77IAeEz8LEchPN8UNjaTJ2,,,,,,
DaBaby,BLAME IT ON BABY,NO DRIBBLE (feat. Stunna 4 Vegas),spotify:track:1gIlID64VBhXDDnzGDdn09,,,,,,
6LACK,FREE 6LACK,PRBLMS,spotify:track:4AtZRwSR8BOTTQg5ihSggt,,,,,,
Young Thug,So Much Fun,Light It Up,spotify:track:41mzryVlFLlz6b1BCtJAjx,,,,,,
Playboi Carti,Die Lit,Poke It Out (with Nicki Minaj),spotify:track:2rPSFKzGeqUWwfcCFVkkq3,,,,,,
Kanye West,My Beautiful Dark Twisted Fantasy,Devil In A New Dress,spotify:track:1UGD3lW3tDmgZfAVDh6w7r,,,,,,
Polo G,THE GOAT,Beautiful Pain (Losin My Mind),spotify:track:4SIB2yxKoFOrbkjA4zfQbB,,,,,,
NAV,Bad Habits,Know Me,spotify:track:4odbaySGxXOgH7ISBUfgvg,,,,,,
Jay Rock,Black Panther The Album Music From And Inspired By,"King's Dead (with Kendrick Lamar, Future & James Blake)",spotify:track:1eLSF6HfrRA0AsNmTkUlKx,,,,,,
Drake,So Far Gone,Best I Ever Had,spotify:track:3fyMH1t6UPeR5croea9PrR,,,,,,
G Herbo,PTSD,By Any Means,spotify:track:2t9kiToH8pMisasP7Fq5jO,,,,,,
Kanye West,My Beautiful Dark Twisted Fantasy,All Of The Lights,spotify:track:22L7bfCiAkJo5xGSQgmiIO,,,,,,
A Boogie Wit da Hoodie,Artist 2.0,Cinderella Story,spotify:track:18AIesWCXvIbXu8RqQw1E1,,,,,,
NLE Choppa,From Dark to Light,Moonlight (feat. Big Sean),spotify:track:1QOxaQ0QruusmKZk5G3sot,,,,,,
J. Cole,Cole World: The Sideline Story,Work Out,spotify:track:2wAJTrFhCnQyNSD3oUgTZO,,,,,,
Trippie Redd,A Love Letter To You 3,Topanga,spotify:track:5aXgz1oKK8Q9z9xvTmSnrO,,,,,,
Travis Scott,Birds In The Trap Sing McKnight,through the late night,spotify:track:1Ci4wASMY4xtKVMeHA6Sd5,,,,,,
Polo G,Hall of Fame,No Return (with The Kid LAROI & Lil Durk),spotify:track:23OYT3SFtoJqhiAUqktbc1,,,,,,
Travis Scott,ASTROWORLD,NC-17,spotify:track:6BJbOXDlgVAXSaq6wYFYT2,,,,,,
XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),Arms Around You (feat. Maluma & Swae Lee),spotify:track:2LskIZrCeLxRvCiGP8gxlh,,,,,,
Lil Tecca,We Love You Tecca,Out Of Luck,spotify:track:1ipyiYqvds0wcaFDTW6N4X,,,,,,
XXXTENTACION,?,Hope,spotify:track:2ZRo7axmMPeSVUvDbGkJah,,,,,,
Jaden,ERYS,N,spotify:track:3YFdwzFuwDC6D0SttvR7WY,,,,,,
Lil Baby,Errbody,Errbody,spotify:track:6eVxH9Kyanzrw636zJRPcw,,,,,,
Migos,Culture,Get Right Witcha,spotify:track:76Y0gxtTxN0FyDCYh5qYQj,,,,,,
A Boogie Wit da Hoodie,Artist 2.0,Thug Love,spotify:track:4MzhmCOgPB7xb87f1CXjlA,,,,,,
Post Malone,Stoney,Go Flex,spotify:track:5yuShbu70mtHXY0yLzCQLQ,,,,,,
Lil Uzi Vert,Luv Is Rage 2,Neon Guts (feat. Pharrell Williams),spotify:track:1MJErNPIQUoEMu4YUUmecm,,,,,,
Young Thug,Beautiful Thugger Girls,Relationship (feat. Future),spotify:track:25oOaleife6E2MIKmFkPvg,,,,,,
Drake,Take Care,Under Ground Kings,spotify:track:5bUwUQKGNnTE20kb3MTqHD,,,,,,
Lil Baby,Drip Harder,Belly (Lil Baby & Gunna),spotify:track:1yQvL8SzbF5JCroRKk9F07,,,,,,
NAV,Bad Habits,I'm Ready,spotify:track:0zVDNjVPGARqeYN7tOHd9C,,,,,,
YSN Flow,Want Beef? 2.0,Want Beef? 2.0,spotify:track:7fxQmoMf84inucOZNzM8iz,,,,,,
Post Malone,Stoney,No Option,spotify:track:6M0IsaUX4GNyto4niSegfI,,,,,,
Bankrol Hayden,Pain is Temporary,Brothers (feat. Luh Kel),spotify:track:49O5AqdaIGmnfz2d8TXL7Z,,,,,,
Chris Brown,Indigo,No Guidance (feat. Drake),spotify:track:6XHVuErjQ4XNm6nDPVCxVX,,,,,,
Trippie Redd,A Love Letter To You 4,I Love You,spotify:track:6gQ2zRxHeWH3gKRV541A4c,,,,,,
JACKBOYS,JACKBOYS,GATTI,spotify:track:40mjsnRjCpycdUw3xhS20g,,,,,,
Young Thug,On the Run,High (feat. Elton John),spotify:track:7iMDaY1LnASwCk2uUpMtii,,,,,,
Post Malone,beerbongs & bentleys,92 Explorer,spotify:track:1D2L6MefbXon28PzIk9I3r,,,,,,
Drake,If You're Reading This It's Too Late,Know Yourself,spotify:track:5InOp6q2vvx0fShv3bzFLZ,,,,,,
Lil Baby,Drip Too Hard,Drip Too Hard,spotify:track:1BxkZE73h9BN3qwuA15TA3,,,,,,
EARTHGANG,Proud Of U (feat. Young Thug),Proud Of U (feat. Young Thug),spotify:track:6SIR9Zx1I9VaFDPj99z9JW,,,,,,
Young Thug,JEFFERY,Kanye West (feat. Wyclef Jean),spotify:track:5StUs128KSibE16fxntBSL,,,,,,
Kendrick Lamar,DAMN.,GOD.,spotify:track:5p3NP9mQblDsVJLdfNZJ3I,,,,,,
Kid Cudi,Man On The Moon III: The Chosen,Rockstar Knights (with Trippie Redd),spotify:track:4J9SI7do4KOEsCexqEbjmR,,,,,,
Drake,Summer Sixteen,Summer Sixteen,spotify:track:17Q87zeXgsAi9iQQbMu9v0,,,,,,
A$AP Rocky,TESTING,"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)",spotify:track:3oHkMCVJyOcjg5FhfLc2Rq,,,,,,
Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,Trap This Way (This Way),spotify:track:7vTspUAmMKFkUpKL9HLZNL,,,,,,
VIC MENSA,U Mad,U Mad,spotify:track:3KiEydhjn7yf58h9jBD5Sa,,,,,,
Lil Baby,Harder Than Ever,Life Goes On,spotify:track:2bSk87AVkCIIC3Bcligq1z,,,,,,
Lil Skies,World Rage,World Rage,spotify:track:4XwmdaPVSHsvxsuKS7HBdl,,,,,,
21 Savage,i am > i was,can't leave without it,spotify:track:1nbYiPgDJ4T3t46Is5Zc26,,,,,,
Trippie Redd,A Love Letter To You 2,Today,spotify:track:5bNrUcuk5gjy6Ko2dbfWhZ,,,,,,
Lil Baby,Right On,Right On,spotify:track:6ws54n2IzyrIxxyzlG2bVJ,,,,,,
"Tyler, The Creator",IGOR,I THINK,spotify:track:4f8Mh5wuWHOsfXtzjrJB3t,,,,,,
Travis Scott,The Plan,"The Plan - From the Motion Picture ""TENET""",spotify:track:551xyaSJsg8hILXFq9JdST,,,,,,
A Boogie Wit da Hoodie,Artist 2.0,Might Not Give Up (feat. Young Thug),spotify:track:4l2rsMfr20dj6nf6i6F3Y8,,,,,,
88GLAM,88GLAM2,It's A Flex (feat. NAV),spotify:track:1gR8SPZg0pDh2F0Ridi3e1,,,,,,
Bryson Tiller,A N N I V E R S A R Y,Outta Time (feat. Drake),spotify:track:0LGtMvQJ37SsEYbkP6TcVJ,,,,,,
Young Thug,JEFFERY,"Floyd Mayweather (feat. Travis Scott, Gucci Mane and Gunna)",spotify:track:5ALc7rbru6QOLGodVSDocc,,,,,,
The Weeknd,Beauty Behind The Madness,Shameless,spotify:track:6C6fHTuFUxVtJpBOOaMvJr,,,,,,
Lil Tecca,My Time,My Time,spotify:track:36n3hAFlELgqAU8lG9rmiT,,,,,,
Future,Pluto x Baby Pluto,Stripes Like Burberry,spotify:track:6lt8iodSkYWEV0ifKCSlfg,,,,,,
Pop Smoke,Shoot For The Stars Aim For The Moon,Something Special,spotify:track:5kkaSMcf4BFlhRRICCKZb6,,,,,,
Trippie Redd,A Love Letter To You 2,Woah Woah Woah,spotify:track:70NxaxjB8IjX4YxXbT90iX,,,,,,
Cordae,Kung Fu,Kung Fu,spotify:track:1eEYbTvRWPEozV0ttNO0NC,,,,,,
Brent Faiyaz,Dead Man Walking,Dead Man Walking,spotify:track:5VlTQnZO89Ioku8ssdbqJk,,,,,,
Shelley FKA DRAM,Big Baby DRAM,Cash Machine,spotify:track:2UzQdfooGVIeGjqcUMOBWY,,,,,,
Yung Bans,Yung Bans Vol. 5,Ridin (feat. Landon Cube & YBN Nahmir),spotify:track:1zQ6uJovEnJTvExEfAL6vT,,,,,,
